feature,importance
payment_type_enc,0.39236817
is_cross_bank,0.09486191
account_pair_tx_count_before,0.057310205
cross_bank_flow_flag,0.055497225
source_out_tx_count_1h,0.052753597
source_unique_targets_total_before,0.05160251
is_weekend,0.030229867
account_pair_amount_sum_before,0.023936843
fan_out_score,0.021249577
source_account_enc,0.019031623
day_of_week,0.016768599
source_out_tx_count_24h,0.015450265
amount,0.014070916
target_unique_sources_total_before,0.011678493
source_out_tx_count_total_before,0.011236977
source_bank_enc,0.010080511
currency_enc,0.009882178
target_in_tx_count_1h,0.009402351
rapid_movement_flag,0.0088214055
target_account_enc,0.008424306
target_in_tx_count_total_before,0.008394418
source_out_amount_sum_total_before,0.0082984995
target_in_tx_count_24h,0.008284792
target_in_amount_sum_1h,0.008037313
hour,0.0077596735
target_in_amount_sum_total_before,0.006904337
sweep_ratio,0.006871097
fan_in_score,0.00686302
source_out_amount_sum_1h,0.006354523
source_out_amount_sum_24h,0.006233338
target_in_amount_sum_24h,0.0057237293
target_bank_enc,0.0056177177
